Strike,Mid_Call,Mid_Put
2150,260.0,35.25
2175,238.850006103516,38.95000076293945
2200,218.149993896484,43.0
2225,197.949996948242,47.5999984741211
2250,178.149993896484,52.6499996185303
2275,159.0,58.3500003814697
2300,140.550003051758,64.70000076293945
2325,122.849998474121,71.8499984741211
2350,106.050003051758,79.79999923706055
2375,90.20000076293945,88.79999923706055
2400,75.45000076293945,98.79999923706055
2425,61.9499988555908,110.150001525879
2450,49.6999988555908,122.75
2475,39.04999923706055,136.850006103516
2500,29.8499994277954,152.5
2550,16.049999713897698,187.94999694824202
2600,7.94999980926514,229.449996948242
2650,3.799999952316285,275.899993896484
2700,1.89999997615814,323.65000915527355
2800,0.6500000059604645,421.6000061035155
